track_id,enter_ts,exit_ts,dwell_seconds,enter_iso,exit_iso
192,1780327497.55763,1780327503.169145,5.61,2026-06-01T15:24:57+00:00,2026-06-01T15:25:03+00:00
152,1780327497.5836968,1780327513.311855,15.73,2026-06-01T15:24:57+00:00,2026-06-01T15:25:13+00:00
204,1780327497.661577,1780327498.2360399,0.57,2026-06-01T15:24:57+00:00,2026-06-01T15:24:58+00:00
220,1780327497.7910452,1780327502.465188,4.67,2026-06-01T15:24:57+00:00,2026-06-01T15:25:02+00:00
221,1780327497.818005,1780327498.368803,0.55,2026-06-01T15:24:57+00:00,2026-06-01T15:24:58+00:00
222,1780327497.8710332,1780327502.798605,4.93,2026-06-01T15:24:57+00:00,2026-06-01T15:25:02+00:00
223,1780327497.923737,1780327513.200325,15.28,2026-06-01T15:24:57+00:00,2026-06-01T15:25:13+00:00
224,1780327498.054064,1780327513.200325,15.15,2026-06-01T15:24:58+00:00,2026-06-01T15:25:13+00:00
225,1780327498.368803,1780327498.4961941,0.13,2026-06-01T15:24:58+00:00,2026-06-01T15:24:58+00:00
226,1780327498.368803,1780327503.090764,4.72,2026-06-01T15:24:58+00:00,2026-06-01T15:25:03+00:00
228,1780327498.5472288,1780327502.634905,4.09,2026-06-01T15:24:58+00:00,2026-06-01T15:25:02+00:00
225,1780327502.499278,1780327502.958076,0.46,2026-06-01T15:25:02+00:00,2026-06-01T15:25:02+00:00
198,1780327502.5259662,1780327503.4124632,0.89,2026-06-01T15:25:02+00:00,2026-06-01T15:25:03+00:00
204,1780327502.6896992,1780327503.196955,0.51,2026-06-01T15:25:02+00:00,2026-06-01T15:25:03+00:00
216,1780327502.715918,1780327503.330604,0.61,2026-06-01T15:25:02+00:00,2026-06-01T15:25:03+00:00
230,1780327502.798605,1780327503.117451,0.32,2026-06-01T15:25:02+00:00,2026-06-01T15:25:03+00:00
231,1780327502.8772428,1780327538.9943528,36.12,2026-06-01T15:25:02+00:00,2026-06-01T15:25:38+00:00
232,1780327503.196955,1780327518.551,15.35,2026-06-01T15:25:03+00:00,2026-06-01T15:25:18+00:00
